"","sssdistrict","ssslong","ssslat"
"2743","Kpando",NA,NA
"2744","Upper Denkyira",NA,NA
"2745","Asante Akim North",NA,NA
"2746","Kumasi Metro",-1.59718716144562,6.68205976486206
"2747","",NA,NA
"2748","Kadjebi",NA,NA
"2749","Adansi North",NA,NA
"2750","Biakoye",NA,NA
"2751","Aowin Suaman",NA,NA
"2752","Sekyere East",NA,NA
"2753","Mfantsiman",NA,NA
"2754","East Akim",NA,NA
"2755","LEKMA",NA,NA
"2756","Shama Ahanta East",NA,NA
"2757","East Gonja",NA,NA
"2758","Akwapim North",NA,NA
"2759","Ejisu Juaben",NA,NA
"2760","Asuogyaman",NA,NA
"2761","Asuogyaman",NA,NA
"2762","Ejura/Sekyedumase",NA,NA
"2763","Central Gonja",NA,NA
"2764","Kwaebibirem",NA,NA
"2765","Afigya Sekyere",NA,NA
"2766","Accra Metropolitan",-0.197115257382393,5.6073956489563
"2767","Accra Metro",NA,NA
"2768","Tamale Metro",NA,NA
"2769","Shama Ahanta East",NA,NA
"2770","Cape Coast",NA,NA
"2771","Awutu/Efutu/ Senya",NA,NA
"2772","Tamale Metro",NA,NA
"2773","Ejisu Juaben",NA,NA
"2774","Saboba/Chereponi (Saboba)",0.166294068098068,9.91628551483154
"2775","Accra Metropolitan",-0.197115257382393,5.6073956489563
"2776","",NA,NA
"2777","Ga West (Amasaman)",-0.397510528564453,5.6646876335144
"2778","Sunyani Municipal",NA,NA
"2779","Birim South",NA,NA
"2780","Asante Akim North",NA,NA
"2781","Upper Denkyira",NA,NA
"2782","Nkoranza",-1.51597356796265,7.66436910629272
"2783","Accra Metro",NA,NA
"2784","Bolgatanga",NA,NA
"2785","Cape Coast",NA,NA
"2786","Bolgatanga",-0.880232632160187,10.7424564361572
"2787","Tamale Metro",NA,NA
"2788","TEMA",NA,NA
"2789","Kwabre",NA,NA
"2790","Abura/Asebu/ Kwaman",NA,NA
"2791","South Tongu",NA,NA
"2792","Accra Metropolitan",-0.197115257382393,5.6073956489563
"2793","Cape Coast",NA,NA
"2794","Kwahu South",NA,NA
"2795","Ketu North",NA,NA
"2796","Tamale",-0.784348249435425,9.38335132598877
"2797","Wa East",NA,NA
"2798","Jasikan",NA,NA
"2799","Ellembele",NA,NA
"2800","New Juaben",NA,NA
